scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S0,5,agent,peak,0,0,0,0,0.000000,0,0,0,0,1466,246816753,495,91268751,0.337653,0,0,495,0,0,0,0,0,0,0,,960629da96f881eaa92f01688a58c25297044c47df74caf3d06f0dcd758cc9d3
S0,6,B0,peak,0,0,0,0,0.000000,0,0,0,0,1499,219216516,461,70077876,0.307538,0,0,461,0,0,0,0,0,0,0,,dd66d5d8b7e8867f9d493a8f572b774c77fc61cd93937c59a27ca5d429f04ea5
S0,6,B1,peak,0,0,0,0,0.000000,0,0,0,0,1499,219216516,863,125272519,0.575717,429,0,434,890,890,21,0,0,509,0,,dd66d5d8b7e8867f9d493a8f572b774c77fc61cd93937c59a27ca5d429f04ea5
S0,6,B2,peak,0,0,0,0,0.000000,0,0,0,0,1499,219216516,840,123842140,0.560374,391,0,449,1085,732,25,0,0,478,0,,dd66d5d8b7e8867f9d493a8f572b774c77fc61cd93937c59a27ca5d429f04ea5
S0,6,agent,peak,0,0,0,0,0.000000,0,0,0,0,1499,219216516,461,70077876,0.307538,0,0,461,0,0,0,0,0,0,0,,dd66d5d8b7e8867f9d493a8f572b774c77fc61cd93937c59a27ca5d429f04ea5
S0,7,B0,peak,0,0,0,0,0.000000,0,0,0,0,1489,306183009,516,111110341,0.346541,0,0,516,0,0,0,0,0,0,0,,0a1048adf10dd49bd44fa4d8363f3d3eb4a738e4bf3ba7a780d92ae7ac61b79a
S0,7,B1,peak,0,0,0,0,0.000000,0,0,0,0,1489,306183009,938,197996243,0.629953,456,0,482,872,872,18,0,0,504,0,,0a1048adf10dd49bd44fa4d8363f3d3eb4a738e4bf3ba7a780d92ae7ac61b79a
S0,7,B2,peak,0,0,0,0,0.000000,0,0,0,0,1489,306183009,911,192321600,0.611820,415,0,496,1020,692,21,0,0,428,0,,0a1048adf10dd49bd44fa4d8363f3d3eb4a738e4bf3ba7a780d92ae7ac61b79a
S0,7,agent,peak,0,0,0,0,0.000000,0,0,0,0,1489,306183009,516,111110341,0.346541,0,0,516,0,0,0,0,0,0,0,,0a1048adf10dd49bd44fa4d8363f3d3eb4a738e4bf3ba7a780d92ae7ac61b79a
S0,8,B0,peak,0,0,0,0,0.000000,0,0,0,0,1490,235665795,483,81886703,0.324161,0,0,483,0,0,0,0,0,0,0,,7667429a0076b40004fccd876c5745607b28b9d9061dc77a615dd21a627ef2dd
S0,8,B1,peak,0,0,0,0,0.000000,0,0,0,0,1490,235665795,880,145191367,0.590604,429,0,451,892,892,20,0,0,484,0,,7667429a0076b40004fccd876c5745607b28b9d9061dc77a615dd21a627ef2dd
S0,8,B2,peak,0,0,0,0,0.000000,0,0,0,0,1490,235665795,870,145731407,0.583893,401,0,469,1074,716,19,0,0,429,0,,7667429a0076b40004fccd876c5745607b28b9d9061dc77a615dd21a627ef2dd
S0,8,agent,peak,0,0,0,0,0.000000,0,0,0,0,1490,235665795,483,81886703,0.324161,0,0,483,0,0,0,0,0,0,0,,7667429a0076b40004fccd876c5745607b28b9d9061dc77a615dd21a627ef2dd
S0,9,B0,peak,0,0,0,0,0.000000,0,0,0,0,1531,249284650,487,85401307,0.318093,0,0,487,0,0,0,0,0,0,0,,c1d4212444a3c2e32aac2b40183a71cb9a921d4d6c74dfe338aa9a9471d380c6
S0,9,B1,peak,0,0,0,0,0.000000,0,0,0,0,1531,249284650,899,152169513,0.587198,455,0,444,925,925,21,0,0,507,0,,c1d4212444a3c2e32aac2b40183a71cb9a921d4d6c74dfe338aa9a9471d380c6
S0,9,B2,peak,0,0,0,0,0.000000,0,0,0,0,1531,249284650,886,150520410,0.578707,419,0,467,1127,756,26,0,0,466,0,,c1d4212444a3c2e32aac2b40183a71cb9a921d4d6c74dfe338aa9a9471d380c6
S0,9,agent,peak,0,0,0,0,0.000000,0,0,0,0,1531,249284650,487,85401307,0.318093,0,0,487,0,0,0,0,0,0,0,,c1d4212444a3c2e32aac2b40183a71cb9a921d4d6c74dfe338aa9a9471d380c6
S1,0,B0,peak,255,49188957,57,12339414,0.223529,0,0,0,57,1763,340806846,525,110240902,0.297788,0,0,525,0,0,0,0,1,0,0,5.0,ceef2f5f3eb59687c0cfe83516b1fb9b55bc5f44f9644c5b83a52ca0057a387a
S1,0,B1,peak,255,49188957,67,14403696,0.262745,174,12,0,55,1763,340806846,927,184419552,0.525808,436,0,491,1045,1045,41,0,1,624,0,5.0,ceef2f5f3eb59687c0cfe83516b1fb9b55bc5f44f9644c5b83a52ca0057a387a
S1,0,B2,peak,255,49188957,89,19232152,0.349020,232,32,0,57,1763,340806846,939,188078374,0.532615,430,0,509,1302,859,34,0,1,583,0,5.0,ceef2f5f3eb59687c0cfe83516b1fb9b55bc5f44f9644c5b83a52ca0057a387a
S1,0,agent,peak,255,49188957,121,23312386,0.474510,67,12,68,41,1763,340806846,592,122021996,0.335791,12,71,509,73,43,1,0,1,2,0,5.0,ceef2f5f3eb59687c0cfe83516b1fb9b55bc5f44f9644c5b83a52ca0057a387a
S1,1,B0,peak,282,38234049,49,7464793,0.173759,0,0,0,49,1765,244406115,499,72890956,0.282720,0,0,499,0,0,0,0,1,0,0,6.0,6a6e30230725aae55cb1568e5a9617e43e5632e5469565116c22323f740051f2
S1,1,B1,peak,282,38234049,79,12105595,0.280142,174,32,0,47,1765,244406115,932,135943211,0.528045,467,0,465,1038,1038,52,0,1,614,0,6.0,6a6e30230725aae55cb1568e5a9617e43e5632e5469565116c22323f740051f2
S1,1,B2,peak,282,38234049,96,13676301,0.340426,282,48,0,48,1765,244406115,933,135477998,0.528612,452,0,481,1341,875,37,0,1,586,0,6.0,6a6e30230725aae55cb1568e5a9617e43e5632e5469565116c22323f740051f2
S1,1,agent,peak,282,38234049,121,16550676,0.429078,78,19,70,32,1765,244406115,572,82216636,0.324079,19,71,482,89,57,2,0,1,6,0,6.0,6a6e30230725aae55cb1568e5a9617e43e5632e5469565116c22323f740051f2
S1,2,B0,peak,279,59141690,43,8669075,0.154122,0,0,0,43,1727,363633894,539,116611209,0.312102,0,0,539,0,0,0,0,1,0,0,6.0,81e5c73c1ca2adab69a7cc8f924384828647fcbe5c965229dd5a5690c15337dd
S1,2,B1,peak,279,59141690,91,19593455,0.326165,173,48,0,43,1727,363633894,972,210540834,0.562826,472,0,500,1007,1007,22,0,1,590,0,6.0,81e5c73c1ca2adab69a7cc8f924384828647fcbe5c965229dd5a5690c15337dd
S1,2,B2,peak,279,59141690,98,21348044,0.351254,301,55,0,43,1727,363633894,976,212961690,0.565142,452,0,524,1270,838,23,0,1,557,0,6.0,81e5c73c1ca2adab69a7cc8f924384828647fcbe5c965229dd5a5690c15337dd
S1,2,agent,peak,279,59141690,132,26480741,0.473118,79,16,85,31,1727,363633894,631,135381232,0.365373,18,87,526,83,52,2,0,1,4,0,6.0,81e5c73c1ca2adab69a7cc8f924384828647fcbe5c965229dd5a5690c15337dd
S1,3,B0,peak,266,46225407,54,9800551,0.203008,0,0,0,54,1728,316995508,524,100806772,0.303241,0,0,524,0,0,0,0,1,0,0,5.0,9d5f6f636ae2203cab9ef513467d850f9283058a6d780009f45289db39f6f68b
S1,3,B1,peak,266,46225407,84,15169206,0.315789,176,31,0,53,1728,316995508,969,181143344,0.560764,488,0,481,1022,1022,28,0,1,596,0,5.0,9d5f6f636ae2203cab9ef513467d850f9283058a6d780009f45289db39f6f68b
S1,3,B2,peak,266,46225407,99,18739921,0.372180,274,46,0,53,1728,316995508,960,182118542,0.555556,456,0,504,1300,865,31,0,1,577,0,5.0,9d5f6f636ae2203cab9ef513467d850f9283058a6d780009f45289db39f6f68b
S1,3,agent,peak,266,46225407,152,28376763,0.571429,179,38,72,42,1728,316995508,623,119565139,0.360532,39,72,512,186,107,0,0,1,85,0,5.0,9d5f6f636ae2203cab9ef513467d850f9283058a6d780009f45289db39f6f68b
S1,4,B0,peak,260,42248770,48,9367559,0.184615,0,0,0,48,1727,303534799,492,95491239,0.284887,0,0,492,0,0,0,0,1,0,0,4.0,955a10d8ab18b0fdfe9a868ce5240a76f55f646eef21e5c2fd1d24404b3c50a4
S1,4,B1,peak,260,42248770,91,16839299,0.350000,156,43,0,48,1727,303534799,942,179507633,0.545455,478,0,464,1019,1019,31,0,1,584,0,4.0,955a10d8ab18b0fdfe9a868ce5240a76f55f646eef21e5c2fd1d24404b3c50a4
S1,4,B2,peak,260,42248770,107,18718917,0.411538,269,59,0,48,1727,303534799,941,178763415,0.544876,464,0,477,1306,856,25,0,1,569,0,4.0,955a10d8ab18b0fdfe9a868ce5240a76f55f646eef21e5c2fd1d24404b3c50a4
